scope,rows,round,num_classes,classes,actual_min,actual_p50,actual_max,ratio_p50,ratio_p90,ratio_max,overflow_rate
plen64,1994,4,6,[8],6,6.0,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen64,1994,8,2,[8],6,6.0,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen64,1994,8,3,[8],6,6.0,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen64,1994,8,4,[8],6,6.0,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen64,1994,8,6,[8],6,6.0,8,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
plen64,1994,16,2,[16],6,6.0,8,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0
plen64,1994,16,3,[16],6,6.0,8,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0
plen64,1994,16,4,[16],6,6.0,8,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0
plen64,1994,16,6,[16],6,6.0,8,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0
plen64,1994,64,2,[64],6,6.0,8,10.666666666666666,10.666666666666666,10.666666666666666,0.0
plen64,1994,64,3,[64],6,6.0,8,10.666666666666666,10.666666666666666,10.666666666666666,0.0
plen64,1994,64,4,[64],6,6.0,8,10.666666666666666,10.666666666666666,10.666666666666666,0.0
plen64,1994,64,6,[64],6,6.0,8,10.666666666666666,10.666666666666666,10.666666666666666,0.0
all,11932,1,2,"[20, 132]",6,20.0,132,2.0,3.6666666666666665,3.8823529411764706,0.0
all,11932,1,3,"[12, 36, 132]",6,20.0,132,1.2,2.0,2.0,0.0
all,11932,1,4,"[10, 20, 66, 132]",6,20.0,132,1.1111111111111112,1.941176470588235,1.9411764705882353,0.0
all,11932,1,6,"[8, 12, 20, 36, 68, 132]",6,20.0,132,1.0153846153846153,1.2,1.3333333333333333,0.0
all,11932,1,8,"[6, 8, 10, 12, 20, 36, 68, 132]",6,20.0,132,1.0,1.0588235294117647,1.1111111111111112,0.0
all,11932,4,2,"[20, 132]",6,20.0,132,2.0,3.6666666666666665,3.8823529411764706,0.0
all,11932,4,3,"[12, 36, 132]",6,20.0,132,1.2,2.0,2.0,0.0
all,11932,4,4,"[8, 12, 36, 132]",6,20.0,132,1.2,2.0,2.0,0.0
all,11932,4,6,"[8, 12, 20, 36, 68, 132]",6,20.0,132,1.0153846153846153,1.2,1.3333333333333333,0.0
all,11932,4,8,"[8, 12, 20, 36, 68, 132]",6,20.0,132,1.0153846153846153,1.2,1.3333333333333333,0.0
all,11932,8,2,"[24, 136]",6,20.0,132,2.0606060606060606,4.0,4.0,0.0
all,11932,8,3,"[16, 40, 136]",6,20.0,132,1.6,2.2222222222222223,2.6666666666666665,0.0
all,11932,8,4,"[8, 16, 40, 136]",6,20.0,132,1.3333333333333333,2.0606060606060606,2.2222222222222223,0.0
all,11932,8,6,"[8, 16, 24, 40, 72, 136]",6,20.0,132,1.1764705882352942,1.3333333333333333,1.6,0.0
all,11932,8,8,"[8, 16, 24, 40, 72, 136]",6,20.0,132,1.1764705882352942,1.3333333333333333,1.6,0.0
all,11932,16,2,"[32, 144]",6,20.0,132,2.6666666666666665,4.235294117647059,5.333333333333333,0.0
all,11932,16,3,"[16, 48, 144]",6,20.0,132,1.6,2.6666666666666665,2.6666666666666665,0.0
all,11932,16,4,"[16, 48, 144]",6,20.0,132,1.6,2.6666666666666665,2.6666666666666665,0.0
all,11932,16,6,"[16, 48, 144]",6,20.0,132,1.6,2.6666666666666665,2.6666666666666665,0.0
all,11932,16,8,"[16, 32, 48, 144]",6,20.0,132,1.6,2.1818181818181817,2.6666666666666665,0.0
all,11932,64,2,"[64, 192]",6,20.0,132,3.2,8.0,10.666666666666666,0.0
all,11932,64,3,"[64, 192]",6,20.0,132,3.2,8.0,10.666666666666666,0.0
all,11932,64,4,"[64, 192]",6,20.0,132,3.2,8.0,10.666666666666666,0.0
all,11932,64,6,"[64, 192]",6,20.0,132,3.2,8.0,10.666666666666666,0.0
all,11932,64,8,"[64, 192]",6,20.0,132,3.2,8.0,10.666666666666666,0.0
