dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_node,sorted,1,0.09171990156173707,0.16568999853916466,0.1549500011606142,0.4123599012615159,0.7299075529147756,0.9026776219336209,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_chunked,sorted,1,0.11669080257415772,0.8467739971820265,0.39955701504368335,1.3630218147998676,0.5737131584125179,0.2730903137498075,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_node,sorted,4,0.20508084297180176,0.16568999853916466,0.1549500011606142,0.5257208426715806,0.32644223581486204,0.7080336650910756,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_chunked,sorted,4,0.10906510353088379,0.8467739971820265,0.39955701504368335,1.3553961157565937,0.6138264828543835,0.27462676831100924,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_node,identity,0,0.06702899932861328,0.14653400285169482,0.15599200560245663,0.36955500778276473,1.0,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_node,sorted,0,0.057955402135849,0.16465800581499934,0.15254601021297276,0.3751594181638211,1.1565617157050438,0.9850612563360756,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_chunked,identity,0,0.031198599934577943,0.8508019964210689,0.4034750018035993,1.285475598159246,2.14846177293757,0.2874850431326382,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_node,identity,1,0.07638859748840332,0.14653400285169482,0.15599200560245663,0.37891460594255477,0.8774738839627088,0.9752989248421609,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_chunked,identity,1,0.0423741489648819,0.8508019964210689,0.4034750018035993,1.29665114718955,1.5818370625959803,0.2850072732236141,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_node,identity,4,0.21251850128173827,0.14653400285169482,0.15599200560245663,0.5150445097358898,0.3154031245484465,0.7175205264730795,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_chunked,identity,4,0.047769850492477416,0.8508019964210689,0.4034750018035993,1.3020468487171457,1.4031653571779277,0.2838261988398285,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_chunked,sorted,0,0.029032701253890993,0.8396510093007237,0.39611100510228425,1.2647947156568988,2.308741399652917,0.29218576201184415,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_node,sorted,1,0.06588904857635498,0.16465800581499934,0.15254601021297276,0.38309306460432707,1.0173010656078494,0.9646611800828476,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_chunked,sorted,1,0.04130015075206757,0.8396510093007237,0.39611100510228425,1.2770621651550755,1.6229722678495955,0.2893790277921898,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_node,sorted,4,0.20620079040527345,0.16465800581499934,0.15254601021297276,0.5234048064332455,0.32506664594676093,0.7060596372836278,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_chunked,sorted,4,0.041204148530960084,0.8396510093007237,0.39611100510228425,1.276966162933968,1.6267536575412753,0.28940078328596597,0.0001220703125
