dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,order,ticket_batch_size,ms,speedup_vs_static_node,max_abs_diff
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_node,identity,1,0.12949719429016113,0.498177577268625,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_chunked,identity,1,0.111331045627594,0.5794663846987806,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_node,identity,4,0.24115819931030275,0.26751152852799054,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_chunked,identity,4,0.10109889507293701,0.6381137842111407,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,static_chunked,sorted,0,0.02556625008583069,2.523350053213749,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_node,sorted,1,0.09095684885978698,0.7092659796735615,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_chunked,sorted,1,0.11129100322723388,0.5796748761697755,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_node,sorted,4,0.19973984956741334,0.3229831135563338,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,48,persistent_chunked,sorted,4,0.10129090547561645,0.636904154540181,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,static_node,identity,0,0.06413859724998475,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,static_node,sorted,0,0.05574849843978882,1.1504990994377662,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,static_chunked,identity,0,0.027270248532295226,2.3519623289838227,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,persistent_node,identity,1,0.09458490014076233,0.6781060946782516,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,persistent_chunked,identity,1,0.06376659870147705,1.0058337524045968,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,persistent_node,identity,4,0.21928000450134277,0.2924963331510329,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,persistent_chunked,identity,4,0.062198597192764285,1.0311904149736377,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,static_chunked,sorted,0,0.025518250465393067,2.513440227297996,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,persistent_node,sorted,1,0.06154054999351501,1.042216835188238,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,persistent_chunked,sorted,1,0.06317260265350341,1.0152913534650414,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,persistent_node,sorted,4,0.20364789962768554,0.3149484839629803,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,96,persistent_chunked,sorted,4,0.058766549825668334,1.091413354029676,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,static_node,identity,0,0.0637745976448059,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,static_node,sorted,0,0.0557325005531311,1.1442981565847397,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,static_chunked,identity,0,0.027224248647689818,2.3425659407580257,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,persistent_node,identity,1,0.07580469846725464,0.8413013828206786,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,persistent_chunked,identity,1,0.041660350561141965,1.5308223955342963,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,persistent_node,identity,4,0.20998795032501222,0.3037059866820822,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,persistent_chunked,identity,4,0.0473224014043808,1.347661905401573,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,static_chunked,sorted,0,0.025570249557495116,2.494093673251319,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,persistent_node,sorted,1,0.061612552404403685,1.0350909864310003,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,persistent_chunked,sorted,1,0.04149839878082275,1.536796587782501,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,persistent_node,sorted,4,0.20677194595336915,0.30842964383180027,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,192,persistent_chunked,sorted,4,0.03899235129356384,1.6355668619381944,0.000152587890625
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_node,identity,0,0.06437259912490845,1.0,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_node,sorted,0,0.05569455027580261,1.15581504484966,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,static_chunked,identity,0,0.027696248888969422,2.3242352920415192,0.00018310546875
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_node,identity,1,0.07309669852256775,0.8806498846871197,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_chunked,identity,1,0.037546399235725406,1.714481293419421,0.0001220703125
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_node,identity,4,0.20551595687866211,0.31322433597170474,0.0
fp16,128,64,8,64,1024,0.95,1.3,1,6920,54.0625,64.0,1024,64,256,persistent_chunked,identity,4,0.04300245046615601,1.4969518812787488,0.000152587890625
