dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,capacity_scale,actual_work_size,work_capacity,capacity_actual_ratio,overflowed,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,metadata_build_event_ms,worklist_build_ms,worklist_build_event_ms,level2_compute_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,4x,149,596,4.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.0157600998878479,0.0,0.0,0.25903803179971874,0.193442014278844,0.14772099256515503,0.06559601752087474,0.03808100149035454,0.0157600998878479,0.2747981316875666,0.9959390811109691,1.1667223373208828,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,8x,149,1192,8.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015932099521160127,0.0,0.0,0.2579060092102736,0.193442014278844,0.14772099256515503,0.06446399493142962,0.03743999823927879,0.015932099521160127,0.27383810873143377,0.98518712989921,1.1708126380918378,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,max,149,2048,13.74496644295302,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01589210033416748,0.0,0.0,0.2590889926068485,0.193442014278844,0.14772099256515503,0.06564697832800448,0.03816099837422371,0.01589210033416748,0.27498109294101597,0.9876667696826855,1.1659460476531807,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,exact,149,149,1.0,0,48,gpu,persistent_chunked,gpu,identity,1,0.02563610076904297,0.0,0.0,0.3049170190934092,0.193442014278844,0.14772099256515503,0.11147500481456518,0.0719200000166893,0.02563610076904297,0.33055311986245217,0.6122654744544554,0.9699291860483457,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,exact,149,149,1.0,0,48,gpu,static_chunked,gpu,bucket,0,0.015500099956989288,0.0,0.0,0.28286402812227607,0.193442014278844,0.14772099256515503,0.08942201384343207,0.06244000047445297,0.015500099956989288,0.2983641280792654,1.0126450438432595,1.0745699241993103,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,1x,149,149,1.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.01568010002374649,0.0,0.0,0.2561630099080503,0.193442014278844,0.14772099256515503,0.0627209956292063,0.0355600006878376,0.01568010002374649,0.2718431099317968,1.0010203619077431,1.1794049831697728,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,1.25x,149,187,1.25503355704698,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.01570809930562973,0.0,0.0,0.2561730216257274,0.193442014278844,0.14772099256515503,0.06273100734688342,0.0350399985909462,0.01570809930562973,0.27188112093135713,0.9992360689300516,1.1792400935954501,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,2x,149,298,2.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015688200294971467,0.0,0.0,0.25721502606756985,0.193442014278844,0.14772099256515503,0.06377301178872585,0.03587999939918518,0.015688200294971467,0.27290322636254133,1.0005035061638898,1.1748234814490885,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,4x,149,596,4.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015744100511074065,0.0,0.0,0.2549600030761212,0.193442014278844,0.14772099256515503,0.06151798879727721,0.033879999071359634,0.015744100511074065,0.27070410358719527,0.9969511684379823,1.1843674116696876,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,8x,149,1192,8.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015796099603176118,0.0,0.0,0.25751502835191786,0.193442014278844,0.14772099256515503,0.06407301407307386,0.03620000183582306,0.015796099603176118,0.273311127955094,0.993669310452076,1.1730701230233385,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,max,149,2048,13.74496644295302,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015768100321292878,0.0,0.0,0.2689780085347593,0.193442014278844,0.14772099256515503,0.07553599425591528,0.047359999269247055,0.015768100321292878,0.28474610885605217,0.9954337606112686,1.1259613688207033,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,1145,35.78125,50.70000000000005,211,32,exact,149,149,1.0,0,48,gpu,persistent_chunked,gpu,bucket,1,0.02550809979438782,0.0,0.0,0.28286402812227607,0.193442014278844,0.14772099256515503,0.08942201384343207,0.06244000047445297,0.02550809979438782,0.3083721279166639,0.6153378545262596,1.0396955154798349,9.5367431640625e-07
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,exact,137,137,1.0,0,48,gpu,static_chunked,gpu,identity,0,0.015664100646972656,0.0,0.0,0.26822599465958774,0.15998800517991185,0.11313100159168243,0.10823798947967589,0.0742809996008873,0.015664100646972656,0.2838900953065604,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,1x,137,137,1.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015812100470066072,0.0,0.0,0.22374102263711393,0.15998800517991185,0.11313100159168243,0.06375301745720208,0.035280000418424606,0.015812100470066072,0.23955312310718,0.9906400908991443,1.1850820044602104,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,1.25x,137,172,1.2554744525547445,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015808099508285524,0.0,0.0,0.22477199672721326,0.15998800517991185,0.11313100159168243,0.06478399154730141,0.0363599993288517,0.015808099508285524,0.24058009623549878,0.9908908176319745,1.1800232012072451,0.0
