dtype,tasks,tile_tokens,dim,num_transforms,samples,patterns,seeds,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
bf16,128,128,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.05509660243988037,0.05683465003967285,0.07964679896831513,0.06477474868297577,0.05676265060901642,0.055000600218772885,1.001745475880729,1.0,1.001745475880729,0.0
bf16,128,128,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.09842109978199005,0.1007631003856659,0.15375769734382627,0.12259134650230408,0.10844115018844605,0.0981790989637375,1.0024648914158596,1.0,1.0024648914158596,0.0
bf16,128,128,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.18174600005149844,0.1962581515312195,0.2852391004562378,0.23017255067825315,0.20121819972991944,0.18796610236167907,0.9669083827773792,1.0,0.9669083827773792,0.0
bf16,128,256,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.031430301070213315,0.034060399234294894,0.029278299212455748,0.0269462987780571,0.03399629890918732,0.026910300552845004,1.1679654416528042,1.1664051278095242,1.0013377117487559,0.0
bf16,128,256,32,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.053958550095558167,0.05759460031986237,0.04844454973936081,0.042634449899196625,0.04179650098085404,0.04189840108156204,1.2878427028878523,1.2909824705248716,0.9975679238806838,0.0
bf16,128,256,32,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.10027910470962524,0.10792915225028993,0.08643690049648285,0.07395280003547669,0.06914274990558625,0.07037479877471925,1.4249291856682156,1.4503198794747878,0.982493038835152,0.0
bf16,128,256,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.05466260015964508,0.05625060200691223,0.07868484854698182,0.06423470079898834,0.05621865093708038,0.054686599969863886,0.9995611391047893,1.0,0.9995611391047893,0.0
bf16,128,256,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.09765509963035583,0.1005271017551422,0.15057369470596316,0.1217313528060913,0.10821319818496705,0.09756304919719697,1.0009434968865396,1.0,1.0009434968865396,0.0
bf16,128,256,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_global,global,0.17971199750900269,0.19526014924049379,0.2828111410140991,0.22787249088287354,0.19936619997024535,0.18543800115585327,0.9691217355064236,1.0,0.9691217355064236,0.0
bf16,128,256,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,0,graph_global,global,0.10411719679832458,,,,,0.10372909903526306,1.0037414550658499,1.0,1.0037414550658499,0.0
bf16,128,256,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,0,graph_global,global,0.1887600481510162,,,,,0.18769604563713074,1.0056687529578672,1.0,1.0056687529578672,0.0
bf16,128,256,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,0,graph_global,global,0.37541015148162843,,,,,0.3783720970153809,0.9921718711365969,1.0,0.9921718711365969,0.0
bf16,256,64,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds,lds,0.021654249727725984,0.019040200114250182,0.01978220045566559,0.01946619972586632,0.01906619966030121,0.01881625056266785,1.1508270287752669,1.137291078759166,1.0119019222685446,0.0
bf16,256,64,32,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.0353303998708725,0.03005634993314743,0.03222039937973022,0.028352299332618715,0.029832351207733154,0.02821429967880249,1.2522160845061256,1.2461211507535697,1.0048911245498644,0.0
bf16,256,64,32,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.06313869953155518,0.05292854905128479,0.056672599911689756,0.04989055097103119,0.04641650021076202,0.04601450115442276,1.3721478652928198,1.3602641139436014,1.0087363558498694,0.0
bf16,256,64,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds,chunk8,0.03243235051631928,0.026648300886154178,0.028734299540519714,0.027194300293922426,0.026600299775600432,0.026468300819396974,1.2253280154860422,1.2192475569793537,1.0049870581834526,0.0
bf16,256,64,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.05681059956550598,0.044340451061725614,0.0514105498790741,0.04207044988870621,0.04303250014781952,0.042330500483512876,1.3420724753214976,1.3503682445943312,0.9938566614654615,0.0
bf16,256,64,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.10859520435333253,0.08019889891147614,0.08949899971485138,0.07763285040855408,0.06951670050621034,0.06987674832344055,1.5540964191790196,1.5621455500988728,0.994847387351746,0.0
bf16,256,64,128,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.05645659863948822,0.04210050106048584,0.049812550842761996,0.04306650012731552,0.04207049906253815,0.042112399637699124,1.3406169946427877,1.3419521968485568,0.9990050299787842,0.0
bf16,256,64,128,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.1045412003993988,0.07309080064296722,0.08853699862957001,0.07671490013599397,0.07099480032920838,0.07130680084228516,1.4660761549325536,1.4725191128735229,0.9956245335733563,0.0
bf16,256,64,128,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.19561219811439512,0.14143159985542297,0.17153789997100832,0.1422155499458313,0.1341295003890991,0.13346545100212098,1.4656392095905517,1.458383111447814,1.0049754403255085,0.0
bf16,256,128,32,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds,chunk8,0.03183234930038452,0.0265782505273819,0.02845434993505478,0.02698829919099808,0.026522299647331236,0.026434299349784852,1.2042062806042786,1.2002107556155146,1.0033290194826783,0.0
bf16,256,128,32,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=4),chunk4,0.05617659986019134,0.04437050074338913,0.05052254796028137,0.04220049977302551,0.042914399504661555,0.042228500545024875,1.330300605873863,1.3311832836657385,0.9993369224187936,0.0
bf16,256,128,32,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.10672720074653626,0.07908689975738525,0.0893749475479126,0.0767148494720459,0.06942670047283173,0.06923879981040955,1.541436319502618,1.5372644821036985,1.0027138058853806,0.0
bf16,256,128,64,8,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.0561165988445282,0.042144449055194856,0.04951249957084656,0.04275050014257431,0.04184044897556305,0.04199844896793366,1.3361588397555806,1.341204509476061,0.9962379564899827,0.0
bf16,256,128,64,16,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.10191310048103333,0.07227480113506317,0.08717694878578186,0.07547079920768737,0.06977075040340425,0.07060679793357849,1.443389354335335,1.46068517096042,0.9881591071307223,0.0
bf16,256,128,64,32,12,contiguous;page-cross;random;tail-negative,0;1;2,1,graph_lds_chunked(chunk=8),chunk8,0.19637020230293273,0.14047954678535463,0.17058594822883605,0.14098550081253053,0.1332735002040863,0.13257550001144408,1.4811952607079122,1.473437720193619,1.0052649259673314,0.0
