dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,persistent_blocks,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,3015,23.5546875,32.0,256,32,48,persistent_chunked,cpu,sorted,1,0.03836829960346222,2.1461629949044436,0.7598990050610155,0.0,2.9444302995689213,0.45214670507403726,0.9772695527101345,0.0
fp16,128,64,8,32,256,0.8,0.6,0.5,0.5,1.3,1,3015,23.5546875,32.0,256,32,48,persistent_chunked,gpu,sorted,1,0.03838430047035217,0.3224199899705127,0.45138598943594843,0.0805750023573637,0.892765282234177,0.45195822334702995,3.223133940250046,1.9073486328125e-06
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,3503,27.3671875,50.79999999999998,256,32,48,static_chunked,cpu,identity,0,0.016964100301265717,2.050479015451856,0.7528860005550086,0.0,2.8203291163081303,1.0,1.0,9.5367431640625e-07
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,3503,27.3671875,50.79999999999998,256,32,48,static_chunked,gpu,identity,0,0.01708409935235977,0.30845300352666527,0.4428999964147806,0.1014649897115305,0.8699020890053362,0.9929759802598268,3.2421224778675404,0.0
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,3503,27.3671875,50.79999999999998,256,32,48,persistent_chunked,cpu,identity,1,0.037204301357269286,2.050479015451856,0.7528860005550086,0.0,2.840569317364134,0.4559714786298797,0.9928745970280404,0.0
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,3503,27.3671875,50.79999999999998,256,32,48,persistent_chunked,gpu,identity,1,0.03724820017814636,0.30845300352666527,0.4428999964147806,0.1014649897115305,0.8900661898311227,0.4554340940000266,3.168673463310911,1.52587890625e-05
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,3503,27.3671875,50.79999999999998,256,32,48,static_chunked,cpu,sorted,0,0.01606010049581528,2.0511610055109486,0.7421750051435083,0.0,2.809396111150272,1.0562885522220729,1.0038915854957107,1.52587890625e-05
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,3503,27.3671875,50.79999999999998,256,32,48,static_chunked,gpu,sorted,0,0.01624010056257248,0.3308459999971092,0.44007399992551655,0.08028399315662682,0.8674440936418251,1.0445809886400454,3.2513093777230417,1.52587890625e-05
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,3503,27.3671875,50.79999999999998,256,32,48,persistent_chunked,cpu,sorted,1,0.036984199285507204,2.0511610055109486,0.7421750051435083,0.0,2.830320209939964,0.4586850771138189,0.9964699776383091,0.0
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,0,3503,27.3671875,50.79999999999998,256,32,48,persistent_chunked,gpu,sorted,1,0.03704819977283478,0.3308459999971092,0.44007399992551655,0.08028399315662682,0.8882521928520873,0.45789270208223376,3.1751445580475752,9.5367431640625e-07
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,2944,23.0,32.0,256,32,48,static_chunked,cpu,identity,0,0.017484100162982942,2.0542260172078386,0.7887149986345321,0.0,2.8604251160053535,1.0,1.0,0.0
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,2944,23.0,32.0,256,32,48,static_chunked,gpu,identity,0,0.017180100083351135,0.2812200109474361,0.5037169903516769,0.08015398634597659,0.8822710877284408,1.0176948957315102,3.242115893619513,0.0
fp16,128,64,8,32,256,0.95,0.6,0.5,0.5,1.3,1,2944,23.0,32.0,256,32,48,persistent_chunked,cpu,identity,1,0.04019230008125305,2.0542260172078386,0.7887149986345321,0.0,2.8831333159236237,0.43501118690985474,0.9921237773526281,0.0
