dtype,tasks,tile_tokens,dim,num_transforms,pattern,seed,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,64,64,8,contiguous,1,1,graph_global,global,0.012644100189208984,0.027768298983573914,0.014116199314594268,0.01881230026483536,0.02764439880847931,0.012388099730014802,1.020665030535226,1.0,1.020665030535226,0.0
fp16,32,64,64,8,contiguous,2,1,graph_global,global,0.012716199457645416,0.02774440050125122,0.01419219970703125,0.018792200088500976,0.02766830027103424,0.012480200082063676,1.0189099032090772,1.0,1.0189099032090772,0.0
fp16,32,64,64,8,page-cross,0,1,graph_global,global,0.012676200270652771,0.027728399634361266,0.014044100046157837,0.01873620003461838,0.027752301096916197,0.012344200164079666,1.0268952303235646,1.0,1.0268952303235646,0.0
fp16,32,64,64,8,page-cross,1,1,graph_global,global,0.012368100136518479,0.027600300312042237,0.014252200722694397,0.018608300387859343,0.027808400988578796,0.012592099606990814,0.9822111103419181,1.0,0.9822111103419181,0.0
fp16,32,64,64,8,page-cross,2,1,graph_global,global,0.012592099606990814,0.02774440050125122,0.01411219984292984,0.018764300644397734,0.027640300989151,0.012456200271844863,1.0109101758305161,1.0,1.0109101758305161,0.0
fp16,32,64,64,8,tail-negative,0,1,graph_global,global,0.012356200069189072,0.027732300758361816,0.014080199599266052,0.01877630054950714,0.02760840058326721,0.01236409991979599,0.9993610654509295,1.0,0.9993610654509295,0.0
fp16,32,64,64,8,tail-negative,1,1,graph_global,global,0.012672199308872223,0.027892300486564638,0.014220100641250611,0.018880200386047364,0.02782039940357208,0.012476100027561188,1.0157179952771962,1.0,1.0157179952771962,0.0
fp16,32,64,64,8,tail-negative,2,1,graph_global,global,0.012648199498653413,0.02779630124568939,0.014120100438594818,0.018804199993610382,0.027768298983573914,0.012428099662065506,1.0177098544888339,1.0,1.0177098544888339,0.0
fp16,32,64,64,16,random,0,1,graph_global,chunk2,0.01674019992351532,0.0476606011390686,0.016480199992656708,0.0197843000292778,0.02880840003490448,0.01649619936943054,1.0147913194197289,1.015776503378264,0.9990301173976182,0.0
fp16,32,64,64,16,random,1,1,graph_global,chunk2,0.01673219949007034,0.04770059883594513,0.01650020033121109,0.019696299731731415,0.028784400224685668,0.01652020066976547,1.0128327024920987,1.0140603843712377,0.9987893404593453,0.0
fp16,32,64,64,16,random,2,1,graph_global,chunk2,0.016856199502944945,0.04812059998512268,0.016412200033664705,0.019676199555397032,0.028668299317359924,0.016644200682640074,1.0127370983051163,1.0270530135124791,0.9860611720923705,0.0
fp16,32,64,64,16,contiguous,0,1,graph_global,global,0.01658419966697693,0.04720059931278229,0.016600200533866884,0.019528299570083618,0.028892400860786437,0.016672199964523314,0.9947217345201209,1.0,0.9947217345201209,0.0
fp16,32,64,64,16,contiguous,1,1,graph_global,chunk2,0.016696199774742126,0.04737260043621063,0.016456200182437895,0.019688299298286437,0.02865239977836609,0.016384199261665344,1.0190427684682022,1.014584143948392,1.0043945340033196,0.0
fp16,32,64,64,16,contiguous,2,1,graph_global,chunk2,0.01666020005941391,0.047632598876953126,0.016488200426101683,0.019724200665950774,0.02897230088710785,0.016532200574874877,1.0077424347690025,1.010431680163224,0.9973385183313065,0.0
fp16,32,64,64,16,page-cross,0,1,graph_global,chunk2,0.016724200546741487,0.047480601072311404,0.016700200736522675,0.019640199840068817,0.02900429964065552,0.017540200054645537,0.9534783237727137,1.0014370971102358,0.9521100491724216,0.0
fp16,32,64,64,16,page-cross,1,1,graph_global,chunk2,0.01672019958496094,0.04757660031318665,0.016464200615882874,0.019748300313949585,0.028792399168014526,0.016596199572086336,1.0074715908504235,1.0155488246924727,0.9920464347497078,0.0
fp16,32,64,64,16,page-cross,2,1,graph_global,chunk2,0.01672019958496094,0.04778459966182709,0.01655620038509369,0.019624200463294984,0.0290803998708725,0.016456200182437895,1.0160425492881877,1.0099056061205267,1.0060767492827727,0.0
fp16,32,64,64,16,tail-negative,0,1,graph_global,chunk2,0.01658419966697693,0.04764060080051422,0.01647620052099228,0.0197843000292778,0.02879230082035065,0.016480199992656708,1.0063105832675916,1.0065548574652905,0.9997573165576747,0.0
fp16,32,64,64,16,tail-negative,1,1,graph_global,chunk2,0.01663219928741455,0.047652599215507505,0.01650020033121109,0.019748300313949585,0.0287883996963501,0.01642819941043854,1.0124176650087648,1.0079998396112668,1.0043827639885357,0.0
fp16,32,64,64,16,tail-negative,2,1,graph_global,chunk2,0.016600300371646882,0.047520598769187926,0.01655219942331314,0.019768199324607848,0.028824299573898315,0.016444200277328493,1.0094927142509693,1.002906015515134,1.0065676131501236,0.0
fp16,32,64,64,32,random,0,1,graph_lds_chunked(chunk=2),chunk2,0.024820299446582796,0.08796510100364685,0.023576299846172332,0.024052299559116364,0.03069640100002289,0.023676300048828126,1.0483183350183676,1.0527648362349968,0.9957763585336576,0.0
fp16,32,64,64,32,random,1,1,graph_lds_chunked(chunk=2),chunk2,0.02474430054426193,0.09047309756278991,0.02405630052089691,0.02454430013895035,0.031236401200294493,0.024680300056934355,1.002593181086937,1.0285995771780194,0.9747166957209614,0.0
fp16,32,64,64,32,random,2,1,graph_lds_chunked(chunk=2),chunk2,0.025188300013542175,0.08958119750022889,0.023896299302577972,0.024324299395084382,0.03116840124130249,0.024004299938678742,1.0493244992725501,1.0540669789327932,0.9955007795946281,0.0
