"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
59,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,69,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820437042,36497821087107,36497821212908,36497821218173,125801
60,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,70,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820442653,36497821220948,36497821346988,36497821354906,126040
61,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,71,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820448244,36497821355068,36497821480949,36497821488502,125881
62,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,72,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820453884,36497821489349,36497821616270,36497821622981,126921
63,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,73,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820459345,36497821624670,36497821750711,36497821756748,126041
64,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,74,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820464986,36497821758991,36497821885912,36497821891006,126921
65,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,75,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820470416,36497821894032,36497822025153,36497822032899,131121
66,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,76,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820476197,36497822033273,36497822164874,36497822170633,131601
67,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,77,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820481918,36497822172994,36497822304195,36497822309981,131201
68,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,78,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820487559,36497822312315,36497822443516,36497822450511,131201
69,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,79,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820493060,36497822451636,36497822583037,36497822588336,131401
70,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,80,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820498640,36497822591357,36497822723558,36497822731170,132201
71,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,81,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820504261,36497822732158,36497822863158,36497822870117,131000
72,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,82,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820509812,36497822871359,36497823002759,36497823011208,131400
73,"(anonymous namespace)::graph_lds_kernel(unsigned int const*, unsigned int const*, int const*, float*, long, long, long, long, long, int) [clone .kd]",1,0,83,203947,203947,65536,256,17408,0,24,0,128,32,"0x0","0x7463b99b46c0",36497820515383,36497823010879,36497823144080,36497823149584,133201
74,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>) [clone .kd]",1,0,86,203947,203947,2048,256,0,0,16,0,128,32,"0x0","0x746047a65700",36497823186595,36497823203551,36497823206071,36497823208357,2520
75,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,87,203947,203947,2048,256,0,0,16,0,128,32,"0x0","0x7460478160c0",36497823200833,36497823218391,36497823228751,36497823228917,10360
76,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4>) [clone .kd]",1,0,88,203947,203947,512,512,2560,0,32,0,128,32,"0x0","0x7460442186c0",36497823213718,36497823232871,36497823239111,36497823240740,6240
77,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>) [clone .kd]",1,0,90,203947,203947,2048,256,0,0,16,0,128,32,"0x0","0x746047a65700",36497823265738,36497823281441,36497823283121,36497823283502,1680
78,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,91,203947,203947,2048,256,0,0,16,0,128,32,"0x0","0x7460478160c0",36497823276158,36497823287361,36497823289881,36497823292499,2520
79,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4>) [clone .kd]",1,0,92,203947,203947,512,512,2560,0,32,0,128,32,"0x0","0x7460442186c0",36497823286708,36497823302601,36497823308761,36497823310173,6160
