dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,work_capacity,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,48,gpu,persistent_chunked,gpu,identity,4,0.027656099200248717,0.0,0.0,0.22842998441774398,0.13675299123860896,0.2560860836179927,0.5691366463261732,0.9534687731461017,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,48,gpu,static_chunked,gpu,bucket,0,0.015484100580215454,0.0,0.0,0.21207799727562815,0.13675299123860896,0.2275620978558436,1.0165330215824846,1.0729822157014686,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015584099292755126,0.0,0.0,0.20642699382733554,0.13675299123860896,0.22201109312009065,1.01001021962244,1.099810286664192,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,48,gpu,persistent_chunked,gpu,bucket,1,0.02472810000181198,0.0,0.0,0.21207799727562815,0.13675299123860896,0.23680609727744012,0.636526847923623,1.0310971160551232,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,48,gpu,persistent_chunked,gpu,bucket,4,0.028092101216316223,0.0,0.0,0.21207799727562815,0.13675299123860896,0.24017009849194437,0.56030339019822,1.016654802159842,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,256,gpu,static_chunked,gpu,identity,0,0.015592099726200103,0.0,0.0,0.22736699611414224,0.1347989891655743,0.24295909584034234,1.0,1.0,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,256,gpu,static_chunked_fixed,fixed,identity,0,0.015720100700855257,0.0,0.0,0.20413199672475457,0.1347989891655743,0.21985209742560982,0.9918574965204778,1.1051024697299106,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,256,gpu,persistent_chunked,gpu,identity,1,0.02228820025920868,0.0,0.0,0.22736699611414224,0.1347989891655743,0.24965519637335093,0.6995674637191942,0.973178605411462,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,256,gpu,persistent_chunked,gpu,identity,4,0.027512100338935853,0.0,0.0,0.22736699611414224,0.1347989891655743,0.2548790964530781,0.5667360737316646,0.9532327257173474,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2048,256,gpu,static_chunked,gpu,bucket,0,0.015540100634098053,0.0,0.0,0.21081497834529728,0.1347989891655743,0.22635507897939533,1.003346123254051,1.0733538515495755,0.0
