Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,SQC_LDS_BANK_CONFLICT,SQC_LDS_IDX_ACTIVE
29,1,1,157527,157527,256,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",30603933389780,30603933393540,0,0.000000,0.000000
30,1,1,157527,157527,32768,512,2560,0,32,0,128,32,"reduce_kernel",30603933441061,30603933448381,0,2081.000000,2081.000000
31,1,1,157527,157527,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30603933558992,30603933573472,0,384.000000,384.000000
32,1,1,157527,157527,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30603933674242,30603933686082,0,384.000000,384.000000
33,1,1,157527,157527,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30603933735923,30603933742323,0,0.000000,0.000000
34,1,1,157527,157527,8192,256,16384,0,24,0,128,32,"gather_direct_lds_kernel",30603933790203,30603933796683,0,384.000000,384.000000
35,1,1,157527,157527,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603933894054,30603933900294,0,0.000000,0.000000
36,1,1,157527,157527,32768,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603933949054,30603933951414,0,0.000000,0.000000
37,1,1,157527,157527,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603934003655,30603934005655,0,0.000000,0.000000
38,1,1,157527,157527,65536,256,0,0,16,0,128,32,"vectorized_elementwise_kernel",30603934055415,30603934057135,0,0.000000,0.000000
39,1,1,157527,157527,256,256,0,0,16,0,128,32,"__amd_rocclr_fillBufferAligned.kd",30603934106775,30603934110535,0,0.000000,0.000000
40,1,1,157527,157527,32768,512,2560,0,32,0,128,32,"reduce_kernel",30603934157976,30603934165256,0,2081.000000,2081.000000
